origin_id,destination_id,entry_cost,network_co,exit_cost,distance
53,89,,,,
53,90,,,,
54,0,,,,
54,17,,,,
54,18,,,,
54,20,,,,
54,21,,,,
54,23,,,,
54,24,,,,
54,25,,,,
54,29,,,,
54,30,,,,
54,31,,,,
54,32,,,,
54,33,,,,
54,35,,,,
54,36,,,,
54,38,,,,
54,39,,,,
54,40,,,,
54,48,,,,
54,52,0.0000000,8077.4382621,0.0000000,8077.4382621
54,53,0.0000000,7643.0259922,0.0000000,7643.0259922
54,54,,,,
54,57,,,,
54,58,,,,
54,60,,,,
54,61,,,,
54,62,,,,
54,63,,,,
54,64,,,,
54,66,,,,
54,67,,,,
54,68,,,,
54,69,,,,
54,77,,,,
54,82,,,,
54,83,,,,
54,84,,,,
54,85,,,,
54,86,,,,
54,87,,,,
54,88,,,,
54,89,,,,
54,90,,,,
57,0,,,,
57,17,,,,
57,18,,,,
57,20,,,,
57,21,,,,
57,23,,,,
57,24,,,,
57,25,,,,
57,29,,,,
57,30,,,,
57,31,,,,
57,32,,,,
57,33,,,,
57,35,,,,
57,36,,,,
57,38,,,,
57,39,,,,
57,40,,,,
57,48,,,,
57,52,0.0000000,14149.2395944,0.0000000,14149.2395944
57,53,0.0000000,13714.8273246,0.0000000,13714.8273246
57,54,0.0000000,7229.9531080,0.0000000,7229.9531080
57,57,,,,
57,58,,,,
57,60,,,,
57,61,,,,
57,62,,,,
57,63,,,,
57,64,,,,
57,66,,,,
57,67,,,,
57,68,,,,
57,69,,,,
57,77,,,,
57,82,,,,
57,83,,,,
57,84,,,,
57,85,,,,
57,86,,,,
57,87,,,,
57,88,,,,
57,89,,,,
57,90,,,,
58,0,,,,
58,17,,,,
58,18,,,,
58,20,,,,
58,21,,,,
58,23,,,,
58,24,,,,
58,25,,,,
58,29,,,,
58,30,,,,
58,31,,,,
58,32,,,,
58,33,,,,
58,35,,,,
58,36,,,,
58,38,,,,
58,39,,,,
58,40,,,,
58,48,,,,
58,52,0.0000000,15984.4777895,0.0000000,15984.4777895
58,53,0.0000000,15550.0655196,0.0000000,15550.0655196
58,54,0.0000000,9065.1913031,0.0000000,9065.1913031
58,57,0.0000000,3224.1196950,0.0000000,3224.1196950
58,58,,,,
58,60,,,,
58,61,,,,
58,62,,,,
58,63,,,,
58,64,,,,
58,66,,,,
58,67,,,,
58,68,,,,
58,69,,,,
58,77,,,,
58,82,,,,
58,83,,,,
58,84,,,,
58,85,,,,
58,86,,,,
58,87,,,,
58,88,,,,
58,89,,,,
